avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240919 08:36:01,30961,,18.8395,,0.187667,230.282,316.793,68.7886,131.432
20240919 08:37:01,31021,,17.0892,,0.403667,234.831,321.644,76.7837,172.769
20240919 08:38:01,31081,,16.9,,1.31733,239.759,325.167,84.4285,401.08
20240919 08:39:01,31141,,17.6995,,0.216667,236.844,327.566,72.8339,110.295
20240919 08:40:01,31201,,17.2395,,0.305,240.42,338.579,75.8899,116.3
20240919 08:41:01,31261,,17.5902,,0.3985,236.38,326.649,84.3427,188.713
20240919 08:42:01,31321,,18.1885,,0.461667,232.382,323.733,74.9247,206.421
20240919 08:43:01,31381,,17.2288,,0.491167,231.341,320.212,85.9429,151.598
20240919 08:44:01,31441,,18.17,,0.2625,232.434,329.034,77.4503,118.624
20240919 08:45:01,31501,,17.37,,0.2145,233.798,328.562,69.0354,97.0175
20240919 08:46:01,31561,,17.6292,,0.278333,231.278,317.621,69.9747,139.411
20240919 08:47:01,31621,,18.3897,,0.473167,230.781,316.429,79.9152,181.06
20240919 08:48:01,31681,,18.1503,,0.536333,236.665,340.402,85.1936,170.632
20240919 08:49:01,31741,,18.5107,,0.341833,229.472,322.77,76.2659,120.071
20240919 08:50:01,31801,,16.9603,,0.468833,234.249,324.678,82.8299,177.011
20240919 08:51:01,31861,,16.889,,0.299,229.292,319.559,73.3649,135.896
20240919 08:52:01,31921,,18.8508,,0.5475,232.608,331.581,77.6849,260.972
20240919 08:53:01,31981,,18.7895,,0.2415,228.902,321.624,74.2009,121.226
20240919 08:54:01,32041,,17.9103,,0.275833,232.313,320.158,77.6886,111.321
20240919 08:55:01,32101,,18.0295,,0.221333,229.634,313.666,71.5989,110.867
20240919 08:56:01,32161,,18.7607,,0.2085,230.178,329.506,76.1148,98.2295
20240919 08:57:01,32221,,18.8597,,0.292833,230.216,319.793,79.6696,115.876
20240919 08:58:01,32281,,18.6392,,0.255667,229.721,316.771,71.6914,149.811
20240919 08:59:01,32341,,17.9017,,0.385667,227.824,323.455,77.5495,146.014
20240919 09:00:01,32401,,17.999,,0.413167,225.962,312.881,77.542,188.376
20240919 09:01:01,32461,,18.7793,,0.429833,230.467,324.036,76.3759,178.044
20240919 09:02:01,32521,,18.2995,,0.524667,227.714,318.759,75.1769,189.789
20240919 09:03:01,32581,,17.3903,,0.305833,229.924,323.842,78.0201,147.125
20240919 09:04:01,32641,,17.5483,,0.416333,233.194,324.912,80.0762,138.894
20240919 09:05:01,32701,,17.519,,0.295667,232.862,328.688,71.4275,145.658
20240919 09:06:01,32761,,17.6108,,0.345333,233.373,326.385,70.9559,141.07
20240919 09:07:01,32821,,16.9103,,0.284667,232.139,321.735,73.728,113.649
20240919 09:08:01,32881,,15.8495,,0.390833,234.281,322.64,71.4589,201.223
20240919 09:09:01,32941,,15.7795,,0.234833,233.615,316.475,70.0482,100.503
20240919 09:10:01,33001,,14.9795,,0.407833,230.346,312.588,86.8219,203.604
20240919 09:11:01,33061,,15.2695,,0.402833,230.748,314.919,77.3345,189.745
20240919 09:12:01,33121,,16.2587,,0.175333,226.753,302.702,69.2776,106.146
20240919 09:13:01,33181,,15.4207,,0.292167,230.579,308.837,76.821,128.923
20240919 09:14:01,33241,,16.1193,,0.311167,228.099,306.411,80.8677,149.844
20240919 09:15:01,33301,,15.1995,,0.211833,231.013,320.661,75.8812,111.278
20240919 09:16:01,33361,,15.9798,,0.302,231.89,315.816,77.6501,125.708
20240919 09:17:01,33421,,16.1787,,0.201667,230.189,316.123,72.1413,103.529
20240919 09:18:01,33481,,15.2397,,0.364833,230.127,320.423,77.2255,168.795
20240919 09:19:01,33541,,15.4103,,0.173333,235.972,323.254,70.2546,116.485
20240919 09:20:01,33601,,14.1808,,0.333,231.462,314.576,76.5701,118.465
20240919 09:21:01,33661,,14.2795,,0.191,230.345,312.842,69.4855,100.938
20240919 09:22:01,33721,,13.78,,0.208,232.773,317.481,74.5438,183.467
20240919 09:23:01,33781,,13.2107,,0.0988333,236.389,323.926,60.1493,96.3446
20240919 09:24:01,33841,,13.6905,,0.256333,239.424,335.542,77.9453,131.883
20240919 09:25:01,33901,,13.7698,,0.142167,230.401,314.598,68.9872,91.3948
20240919 09:26:01,33961,,15.3787,,0.163,231.584,318.153,75.6935,104.564
20240919 09:27:01,34021,,14.3998,,0.205333,225.036,309.8,70.6756,136.343
20240919 09:28:01,34081,,15.4008,,0.3485,224.128,309.543,81.2873,172.227
