seconds,tamb,rh,ws,wd
60,3.441,67.09,1.782,140.9
60,3.502,66.98,1.537,143.7
60,3.487,67.02,1.65,156.2
60,3.458,67.53,1.519,137.3
60,3.348,67.96,2.032,140
60,3.183,68.7,2.14,143.7
60,3.123,69.52,2.024,148.9
60,3.09,69.58,2.109,139.3
60,3.05,69.52,2.198,140.9
60,3.261,69.25,2.027,148.5
60,3.261,68.94,2.641,147.4
60,3.217,68.68,2.979,140.5
60,3.505,68.15,3.087,149.3
60,3.542,68.08,2.631,138.7
60,3.564,67.13,3.118,152.1
60,3.899,65.92,3.482,136.2
60,3.85,65.62,3.017,133.1
60,3.639,66.59,2.809,152.3
60,3.717,65.82,3.472,129.8
60,3.953,64.91,2.924,132.6
60,4.265,63.54,3.061,102.6
60,4.453,63.21,3.054,115.3
60,4.311,63.05,3.673,135.2
60,4.44,62.7,4.753,147.9
60,4.578,62.2,3.575,132.3
60,4.594,61.62,4.002,141.5
60,4.67,61.63,3.662,141.6
60,4.638,61.34,4.76,147.9
60,4.776,61.4,4.005,135.6
60,4.75,61.66,4.472,139.6
60,4.41,62.83,3.853,135.7
60,4.005,64.47,3.812,135.2
60,3.946,64.84,4.495,131.1
60,4.03,64.88,4.854,123.2
60,4.103,65.01,4.023,121.4
60,4.028,65.34,4.431,124.5
60,3.899,65.5,4.457,125.7
60,4.047,65.36,4.325,123.8
60,3.952,65.26,3.272,119.9
60,3.992,65.59,3.621,118.1
60,3.986,65.55,3.721,131
60,3.944,66.08,3.628,137.9
60,3.748,67.17,3.588,136.8
60,3.586,67.51,4.273,143
60,3.638,67.34,4.508,140.5
60,3.817,66.69,5.13,136.7
60,4,66.12,4.862,134.1
60,4.003,65.45,5.073,131.3
60,3.992,65.55,5.316,153.9
60,4.069,65.81,5.068,139.1
60,3.867,66.4,5.945,153.4
60,3.768,66.88,5.478,146.6
60,3.849,66.21,5.441,149
60,4.043,66.06,5.153,149.3
60,4.051,66.61,5.29,150.7
60,3.672,67.38,5.336,141.8
60,3.715,67.5,4.859,132.9
