seconds,tamb,rh,ws,wd
60,-3.406,92.7,2.305,269.7
60,-3.588,92.1,2.314,286.4
60,-3.587,92.2,2.017,279.3
60,-3.543,92.4,1.918,265.9
60,-3.54,92.8,1.942,287.9
60,-3.498,93.1,2.414,290.3
60,-3.418,93.2,2.7,274.8
60,-3.415,93.2,2.85,277.9
60,-3.493,92.8,2.559,279.4
60,-3.425,92.7,2.566,280.3
60,-3.458,92.7,2.535,278.3
60,-3.503,92.6,2.579,294.1
60,-3.4,92.2,2.568,285.2
60,-3.505,91.8,2.336,297
60,-3.488,91.1,2.633,305.9
60,-3.505,90.9,2.362,302.2
60,-3.413,91.4,2.252,291.9
60,-3.501,91.9,1.921,302.9
60,-3.49,91.6,2.311,303.1
60,-3.424,91.5,1.96,297.9
60,-3.493,91.2,2.091,298.3
60,-3.409,91,1.842,301.9
60,-3.497,90.8,1.932,285.3
60,-3.407,90.5,1.993,291.9
60,-3.5,89.7,2.107,296.8
60,-3.406,89.7,2.223,303.4
60,-3.458,91.1,2.39,291
60,-3.353,92.6,2.61,303.8
60,-3.457,93.1,2.62,296.3
60,-3.442,93.1,2.746,297.4
60,-3.367,93.6,3.048,286.5
60,-3.356,93.7,2.821,300
60,-3.453,93.8,2.646,281.8
60,-3.375,93.3,2.68,281.8
60,-3.356,92.6,2.448,294.9
60,-3.457,92.5,2.965,292.8
60,-3.327,92,2.502,296.1
60,-3.503,91.4,2.424,290.5
60,-3.489,91,2.198,280.3
60,-3.417,90.1,2.029,280.5
60,-3.408,89.8,2.107,271.6
60,-3.496,90.1,2.141,271
60,-3.499,90.8,2.114,275.7
60,-3.312,91.5,2.138,271.7
60,-3.417,91.8,2.053,255.2
60,-3.444,92.5,1.808,271.6
60,-3.459,93.4,2.032,274.5
60,-3.31,93.8,2.159,270.2
60,-3.407,93.5,2.719,283.4
60,-3.373,92.5,2.564,268.8
60,-3.446,91.7,2.198,277.6
60,-3.423,91.4,2.466,280.8
60,-3.218,92.1,2.091,278
60,-3.317,93.1,2.314,272.8
60,-3.401,93.9,2.497,289.5
60,-3.329,93.9,2.947,290.6
60,-3.455,93.2,2.512,291.1
60,-3.348,93.3,2.171,283.3
60,-3.458,93.5,2.117,289.8
60,-3.444,93.6,2.68,274.3
60,-3.362,93.4,2.984,281.2
60,-3.453,93.1,2.633,290.4
60,-3.443,93.7,2.257,277.9
60,-3.325,94.1,2.28,293
60,-3.312,94.3,2.422,296.8
60,-3.454,94.2,2.393,278.9
60,-3.422,93.2,2.36,272.3
60,-3.405,93.3,2.326,291.4
60,-3.504,93.6,2.476,282.2
60,-3.476,93.6,1.97,285.4
60,-3.319,93.6,1.95,286.5
60,-3.367,93.5,2.029,290.9
60,-3.444,93.1,1.806,292.4
60,-3.371,92.9,2.156,300.2
60,-3.396,93,1.98,294.1
60,-3.455,93.1,2.29,285.8
60,-3.376,93,2.267,299.6
60,-3.406,93,2.03,304.9
60,-3.504,93,2.2,316.8
60,-3.49,93,2.556,307.3
60,-3.411,92,2.715,310.6
60,-3.413,91.9,2.362,299.6
60,-3.491,91.9,2.432,301.2
60,-3.504,91.7,2.702,301.9
60,-3.403,91.7,2.602,275.1
60,-3.546,91.7,2.488,298.1
60,-3.541,91.6,2.061,294.4
60,-3.451,92,2.61,296.9
60,-3.547,91.9,2.746,306.6
60,-3.457,92,2.488,306.3
60,-3.5,92.3,2.519,301
60,-3.536,92.4,2.378,304.2
60,-3.543,92.4,2.112,305.2
60,-3.468,92.5,2.156,308.1
60,-3.536,92.6,2.006,291.9
60,-3.369,92.8,1.86,305.9
60,-3.467,93,2.236,298
60,-3.546,93,1.918,302.3
60,-3.408,93.4,2.341,303.7
60,-3.44,93.6,2.394,291.4
60,-3.503,93.9,2.159,291.7
60,-3.367,94.4,2.115,290.3
60,-3.454,94.6,2.23,280.2
60,-3.272,94.9,2.45,292
60,-3.305,95.2,2.292,286.6
60,-3.334,95.4,2.878,287.4
60,-3.399,95.4,2.679,298.8
60,-3.327,95.4,2.671,295.9
60,-3.322,95.4,2.383,295.8
60,-3.397,95.4,2.693,312
60,-3.364,95.4,2.577,295.5
60,-3.449,95.3,2.889,294.7
60,-3.366,95.4,3.018,291.6
60,-3.442,95.5,2.947,300.9
60,-3.33,95.3,2.927,293.9
60,-3.412,94.9,2.742,285.2
60,-3.502,94.5,2.646,299.8
60,-3.414,94.3,2.324,302.7
60,-3.503,94.3,1.906,295.9
60,-3.497,94.4,2.007,288.3
60,-3.404,94.4,2.043,297.2
60,-3.467,94.3,2.362,289.6
60,-3.491,94.4,2.167,287.4
60,-3.45,94.9,2.14,275.5
60,-3.456,95,2.117,280.2
60,-3.358,95.2,2.497,280.4
60,-3.456,95,2.461,281.9
60,-3.375,95.1,2.44,285
60,-3.398,95.2,2.713,286.2
60,-3.336,95.1,2.661,284.6
