avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240711 03:44:00,13440,,146.635,,0.232667,244.026,367.753,64.9723,89.5702
20240711 03:45:00,13500,,189.854,,0.277667,256.467,383.165,65.7646,124.822
20240711 03:46:00,13560,,,,0.528167,248.201,374.854,78.3186,153.386
20240711 03:47:00,13620,,142.019,,1.0115,246.994,368.782,78.7347,228.14
20240711 03:48:00,13680,,122.385,,0.369833,241.953,356.8,75.5051,127.809
20240711 03:49:00,13740,,122.235,,0.246333,235.31,354.836,67.7778,101.522
20240711 03:50:00,13800,,125.916,,1.30383,237.677,357.526,81.4233,398.696
20240711 03:51:00,13860,,119.236,,0.321167,238.3,355.549,76.7123,121.49
20240711 03:52:00,13920,,114.182,,0.288167,233.206,344.623,69.7446,118.396
20240711 03:53:00,13980,,121.529,,0.243833,226.956,338.887,65.5251,116.014
20240711 03:54:00,14040,,111.581,,0.170167,223.101,330.932,59.4351,97.4885
20240711 03:55:00,14100,,121.781,,0.226333,230.626,345.472,70.6868,99.9566
20240711 03:56:00,14160,,,,0.213167,232.539,350.796,70.0589,110.492
20240711 03:57:00,14220,,118.467,,0.365333,237.055,356.827,77.4872,114.693
20240711 03:58:00,14280,,,,0.408667,241.013,353.737,72.7947,178.154
20240711 03:59:00,14340,,98.9707,,0.365833,227.304,321.896,73.7145,140.827
20240711 04:00:00,14400,,95.482,,0.450833,222.797,316.243,69.8371,135.28
20240711 04:01:00,14460,,97.8011,,0.472833,220.426,304.918,70.0949,140.437
20240711 04:02:00,14520,,111.231,,0.312333,237.809,350.546,70.5001,126.58
20240711 04:03:00,14580,,103.847,,0.7665,218.688,305.553,81.0914,231.806
20240711 04:04:00,14640,,104.978,,0.580667,214.273,304.138,76.5357,154.143
20240711 04:05:00,14700,,104.999,,0.59,217.662,311.438,75.0206,157.67
20240711 04:06:00,14760,,111.417,,0.908167,212.849,303.673,83.8642,222.208
20240711 04:07:00,14820,,112.856,,0.789166,225.67,324.692,79.2723,185.374
20240711 04:08:00,14880,,,,0.502,224.529,312.662,74.567,113.133
20240711 04:09:00,14940,,,,1.71367,224.101,331.623,86.1618,399.262
20240711 04:10:00,15000,,122.419,,0.400167,224.823,333.99,69.5489,125.159
20240711 04:11:00,15060,,,,0.752167,227.731,338.92,73.445,235.364
20240711 04:12:00,15120,,137.389,,0.907167,231.922,346.882,75.4984,283.651
20240711 04:13:00,15180,,131.155,,0.923666,217.884,322.149,74.6519,273.466
20240711 04:14:00,15240,,139.747,,0.585833,232.318,350.141,74.5019,122.428
20240711 04:15:00,15300,,138.175,,0.778333,239.15,356.833,79.1064,156.847
20240711 04:16:00,15360,,125.644,,2.07633,214.173,299.602,84.1986,323.006
