avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240624 20:32:01,73921,,86.1812,,1.01833,223.774,371.765,77.5897,144.826
20240624 20:33:01,73981,,71.0545,,0.522333,214.493,356.512,66.8001,109.853
20240624 20:34:01,74041,,66.5008,,1.24783,200.945,320.291,83.6896,167.034
20240624 20:35:01,74101,,65.7088,,1.282,186.849,258.653,71.166,150.945
20240624 20:36:01,74161,,71.2143,,1.01733,188.527,258.238,71.72,116.225
20240624 20:37:01,74221,,79.2732,,0.777833,186.587,258.815,70.6737,112.924
20240624 20:38:01,74281,3.26133,84.7145,1.63833,2.52683,185.29,251.962,65.5243,218.672
20240624 20:39:01,74341,3.38117,84.3875,0.9035,1.39383,184.909,255.275,60.6399,103.484
20240624 20:40:01,74401,,,1.268,1.95617,193.256,302.376,60.8063,106.827
20240624 20:41:01,74461,5.18083,85.3772,1.88783,2.91233,184.823,256.91,63.134,165.028
20240624 20:42:01,74521,4.76483,85.7313,1.93233,2.98,185.849,259.013,62.3571,218.684
20240624 20:43:01,74581,,79.2433,,3.41383,193.362,291.758,64.6922,364.23
20240624 20:44:01,74641,4.19833,93.4325,1.25017,1.92867,218.725,356.596,61.4848,119.087
20240624 20:45:01,74701,4.13867,76.6125,1.33167,2.05467,204.633,330.488,61.2433,153.41
20240624 20:46:01,74761,3.4445,77.436,1.5415,2.37633,206.752,335.198,63.3108,219.536
20240624 20:47:01,74821,,86.0108,,2.7865,225.557,368.659,65.1245,415.326
20240624 20:48:01,74881,,,,1.14417,203.405,327.743,65.727,134.965
20240624 20:49:01,74941,,67.4602,,0.631,213.641,351.04,65.8494,117.168
20240624 20:50:01,75001,,75.137,,0.986833,223.622,366.622,68.9161,153.778
20240624 20:51:01,75061,,1188.68,,0.8725,210.57,347.411,67.6218,138.342
20240624 20:52:01,75121,,64.9317,,1.03083,212.184,346.056,66.6924,145.645
20240624 20:53:01,75181,,68.8013,,1.07383,225.108,367.69,67.519,159.82
20240624 20:54:01,75241,,71.8307,,1.33933,217.246,360.601,72.0274,193.53
20240624 20:55:01,75301,,78.2835,,0.654333,216.749,354.567,68.1568,113.917
20240624 20:56:01,75361,,91.3757,,1.56517,222.472,365.458,71.4343,255.613
20240624 20:57:01,75421,,,,1.49617,208.102,340.07,75.0961,295.846
20240624 20:58:01,75481,,95.0805,,0.7495,227.784,371.195,70.0241,127.795
20240624 20:59:01,75541,,,,0.984333,219.154,359.467,74.1464,171.298
20240624 21:00:01,75601,,83.529,,2.37317,215.175,355.987,73.428,463.029
20240624 21:01:01,75661,,74.38,,2.78783,195.698,308.954,75.6563,374.59
20240624 21:02:01,75721,,75.5257,,1.668,215.963,355.493,73.9115,254.022
20240624 21:03:01,75781,,74.2643,,1.27233,207.414,341.69,67.882,306.858
20240624 21:04:01,75841,,,,2.237,216.323,357.942,77.793,469.476
