avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240627 01:53:00,6780,,66.2197,,1.21683,227.046,290.877,69.4763,148.267
20240627 01:54:00,6840,,76.5548,,1.804,225.972,288.164,75.6741,188.923
20240627 01:55:00,6900,,88.3433,,1.5745,240.938,318.263,74.3291,197.808
20240627 01:56:00,6960,,80.8845,,1.54683,224.526,287.02,71.8325,184.204
20240627 01:57:00,7020,,,,1.40567,228.985,281.452,69.1887,147.206
20240627 01:58:00,7080,,84.4443,,1.60333,246.783,327.352,74.7444,159.566
20240627 01:59:00,7140,,76.5935,,1.46067,239.949,316.401,72.2521,130.671
20240627 02:00:00,7200,,87.3243,,1.73283,248.024,337.085,66.9956,263.662
20240627 02:01:00,7260,,,,2.5895,242.756,325.873,74.0319,362.415
20240627 02:02:00,7320,,90.1377,,2.3145,241.648,318.53,75.296,235.691
20240627 02:03:00,7380,,82.6028,,3.00267,227.674,284.612,73.7113,280.305
20240627 02:04:00,7440,,,,1.65967,231.633,292.839,70.5011,151.511
20240627 02:05:00,7500,,89.0114,,3.0725,239.575,308.101,78.5078,171.387
20240627 02:06:00,7560,2.30667,90.821,1.44267,2.2725,249.511,327.535,76.5431,157.155
20240627 02:07:00,7620,,86.6402,,4.39967,242.833,310.427,75.3942,363.153
20240627 02:08:00,7680,,92.0692,,1.80883,249.649,326.956,72.0178,133.143
20240627 02:09:00,7740,2.82783,87.5063,2.9865,4.70417,244.47,305.596,74.9471,355.91
20240627 02:10:00,7800,,96.6781,,3.62483,242.148,300.631,75.4198,222.27
20240627 02:11:00,7860,3.72733,95.064,3.1915,5.02583,245.46,307.074,79.5862,219.302
20240627 02:12:00,7920,3.80033,97.9658,3.273,5.15417,249.571,312.768,77.9808,250.334
20240627 02:13:00,7980,,,4.05217,6.37967,254.717,311.677,76.3989,268.868
20240627 02:14:00,8040,4.87617,89.2207,3.30583,5.2055,260.25,317.297,78.3536,156.842
20240627 02:15:00,8100,4.557,96.868,4.22683,6.65783,261.056,329.848,77.981,298.937
20240627 02:16:00,8160,4.0025,100.05,3.25517,5.125,264.491,339.776,76.7567,241.384
20240627 02:17:00,8220,,,2.61717,4.12083,260.649,335.788,78.1702,244.875
20240627 02:18:00,8280,3.1485,85.5648,2.1325,3.358,250.873,319.597,73.243,206.342
20240627 02:19:00,8340,,89.2002,,4.5995,246.602,312.815,76.1076,326.903
20240627 02:20:00,8400,,83.9208,,3.129,249.458,315.033,73.0218,222.588
20240627 02:21:00,8460,,97.0647,,6.38467,253.132,332.95,80.6237,392.509
20240627 02:22:00,8520,3.70917,98.4845,2.213,3.4865,251.337,329.037,75.3247,169.333
20240627 02:23:00,8580,3.30567,96.5467,2.256,3.5515,257.415,342.101,76.1653,194.222
20240627 02:24:00,8640,,,3.04183,4.79117,255.67,326.917,78.1903,196.464
20240627 02:25:00,8700,4.05683,103.962,2.73233,4.30367,249.672,322.087,75.7804,189.753
20240627 02:26:00,8760,3.333,92.7208,2.98467,4.70167,257.009,337.804,73.8497,313.348
20240627 02:27:00,8820,,103.988,,3.1475,255.769,333.284,73.5152,142.947
20240627 02:28:00,8880,4.04633,102.191,2.6495,4.17417,254.551,331.937,76.849,164.285
20240627 02:29:00,8940,4.319,94.3792,4.63283,7.29067,255.489,329.736,77.6385,352.817
20240627 02:30:00,9000,4.569,100.613,2.82933,4.45533,253.31,328.03,75.131,169.027
20240627 02:31:00,9060,,,,4.60383,262.084,340.692,78.5598,169.31
20240627 02:32:00,9120,4.6045,101.958,4.25367,6.69583,253.681,336.745,76.8844,300.928
20240627 02:33:00,9180,4.1215,92.8652,2.73133,4.299,256.727,331.043,73.5031,205.014
20240627 02:34:00,9240,3.93567,95.6337,4.94867,7.78717,258.546,338.194,80.0481,355.965
20240627 02:35:00,9300,4.071,92.1568,2.67917,4.21583,259.88,338.148,75.2632,185.98
20240627 02:36:00,9360,4.87017,91.536,3.97133,6.24867,256.36,323.249,79.1692,198.004
20240627 02:37:00,9420,5.8225,90.5115,4.9155,7.73617,262.676,326.603,78.8715,216.207
20240627 02:38:00,9480,6.549,97.0425,5.341,8.40783,264.94,330.008,78.5576,223.347
20240627 02:39:00,9540,6.4595,93.5888,5.42783,8.54283,263.017,329.1,77.6872,223.976
20240627 02:40:00,9600,,,3.92333,6.1735,260.969,327.792,72.9802,155.855
